CCSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESCRIPTOR,"""SK9822 BASED ON Galaxy S8 (i1 Pro 2)""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORIGINATOR,"""Argyll ccxxmake""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CREATED,"""Wed Apr 26 23:33:16 2017""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REFERENCE,"""X-Rite i1 Pro 2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANUFACTURER,"""Normand Electronic Co""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISPLAY,"""Web""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECHNOLOGY,"""RGBLED""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISPLAY_TYPE_REFRESH,"""NO""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPECTRAL_BANDS,"""46""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPECTRAL_START_NM,"""450""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPECTRAL_END_NM,"""640""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPECTRAL_NORM,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUMBER_OF_FIELDS,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEGIN_DATA_FORMAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMPLE_ID,SPEC_450,SPEC_455,SPEC_458,SPEC_460,SPEC_465,SPEC_466,SPEC_467,SPEC_470,SPEC_474,SPEC_475,SPEC_480,SPEC_482,SPEC_485,SPEC_490,SPEC_498,SPEC_505,SPEC_510,SPEC_513,SPEC_515,SPEC_520,SPEC_521,SPEC_523,SPEC_525,SPEC_529,SPEC_530,SPEC_535,SPEC_537,SPEC_540,SPEC_545,SPEC_553,SPEC_561,SPEC_569,SPEC_577,SPEC_585,SPEC_593,SPEC_600,SPEC_608,SPEC_610,SPEC_615,SPEC_616,SPEC_620,SPEC_625,SPEC_630,SPEC_632,SPEC_635,SPEC_640
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
END_DATA_FORMAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUMBER_OF_SETS,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEGIN_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,50,140,200,370,385,400,370,234,200,50,30,0,0,0,0,160,439,625,1155,1187,1250,1155,731,625,160,96,0,0,0,0,0,0,0,0,0,0,0,70,111,275,550,275,193,70,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,111,275,550,275,193,70,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,439,625,1155,1187,1250,1155,731,625,160,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,50,140,200,370,385,400,370,234,200,50,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
END_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DO NOT INCLUDE IN FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,450,455,458,460,465,466,467,470,474,475,480,482,485,490,498,505,510,513,515,520,521,523,525,529,530,535,537,540,545,553,561,569,577,585,593,600,608,610,615,616,620,625,630,632,635,640
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
